time_ms,sample_idx,ecg_v,ecg_ac_v,ppg,lead_off
831709,207876,1.9115,0.0,83887,0
831713,207877,1.922,0.0052,84749,0
831717,207878,1.9462,0.0196,83923,0
831721,207879,1.9631,0.0274,83923,0
831725,207880,1.9647,0.0232,84763,0
831729,207881,1.9768,0.0294,83917,0
831733,207882,2.009,0.0528,84709,0
831737,207883,2.0284,0.0632,84023,0
831741,207884,2.0308,0.0583,84023,0
831745,207885,2.0356,0.0568,84071,0
831749,207886,2.0509,0.0656,84071,0
831753,207887,2.0695,0.0771,84492,0
831757,207888,2.067,0.0689,84104,0
831761,207889,2.0606,0.058,84292,0
831765,207890,2.0638,0.0572,84151,0
831769,207891,2.0703,0.0596,84151,0
831773,207892,2.0541,0.041,84006,0
831777,207893,2.0219,0.0082,84199,0
831781,207894,1.9953,-0.0174,83807,0
831785,207895,1.9736,-0.0372,84224,0
831789,207896,1.9445,-0.063,84224,0
831793,207897,1.8954,-0.1071,83565,0
831797,207898,1.8543,-0.1418,84284,0
831801,207899,1.8309,-0.1583,83328,0
831805,207900,1.8051,-0.1767,84293,0
831809,207901,1.7697,-0.204,84293,0
831813,207902,1.735,-0.2298,83160,0
831817,207903,1.7189,-0.2371,84249,0
831821,207904,1.7068,-0.2406,83027,0
831825,207905,1.6899,-0.249,84327,0
831829,207906,1.6681,-0.262,84327,0
831833,207907,1.6601,-0.2616,84363,0
831837,207908,1.6609,-0.2529,84363,0
831841,207909,1.6617,-0.2447,82936,0
831845,207910,1.652,-0.2471,84378,0
831849,207911,1.6464,-0.2457,82912,0
831853,207912,1.6585,-0.2273,84390,0
831857,207913,1.656,-0.2237,84390,0
831861,207914,1.6464,-0.2274,82894,0
831865,207915,1.6504,-0.2177,84408,0
831869,207916,1.6601,-0.203,82988,0
831873,207917,1.6705,-0.1879,84409,0
831877,207918,1.6609,-0.193,84409,0
831881,207919,1.656,-0.1934,83040,0
831885,207920,1.6746,-0.1709,84467,0
831889,207921,1.6834,-0.1585,83095,0
831893,207922,1.673,-0.1654,84452,0
831897,207923,1.6738,-0.1612,84452,0
831901,207924,1.6851,-0.1468,83164,0
831905,207925,1.6875,-0.1415,84415,0
831909,207926,1.6891,-0.1372,83236,0
831913,207927,1.6746,-0.1488,84469,0
831917,207928,1.6738,-0.1468,84469,0
831921,207929,1.6842,-0.1338,84483,0
831925,207930,1.6891,-0.1266,84483,0
831929,207931,1.677,-0.1362,83390,0
831933,207932,1.677,-0.1338,84504,0
831937,207933,1.6883,-0.1204,83433,0
831941,207934,1.6939,-0.1128,84532,0
831945,207935,1.6875,-0.1173,84532,0
831949,207936,1.6875,-0.1154,83464,0
831953,207937,1.6947,-0.1064,84572,0
831957,207938,1.702,-0.0975,83567,0
831961,207939,1.6963,-0.1016,84585,0
831965,207940,1.6883,-0.1079,84585,0
831969,207941,1.6971,-0.0976,83614,0
831973,207942,1.7052,-0.0882,84630,0
831977,207943,1.7028,-0.0893,83670,0
831981,207944,1.6867,-0.1039,84638,0
831985,207945,1.6891,-0.1,84638,0
831989,207946,1.702,-0.0859,83693,0
831993,207947,1.6996,-0.0871,84622,0
831997,207948,1.6891,-0.0962,83699,0
832001,207949,1.6826,-0.1013,84698,0
832005,207950,1.6915,-0.0912,84698,0
832009,207951,1.7044,-0.0772,84727,0
832013,207952,1.6931,-0.0874,84727,0
832017,207953,1.6786,-0.1006,83687,0
832021,207954,1.6883,-0.0897,84749,0
832025,207955,1.6955,-0.0815,83662,0
832029,207956,1.6931,-0.0828,84763,0
832033,207957,1.6923,-0.0826,84763,0
832037,207958,1.6955,-0.0785,83567,0
832041,207959,1.7036,-0.0696,84709,0
832045,207960,1.7036,-0.0687,83583,0
832049,207961,1.6947,-0.0767,84615,0
832053,207962,1.6915,-0.079,84615,0
832057,207963,1.7036,-0.0662,83535,0
832061,207964,1.71,-0.059,84492,0
832065,207965,1.702,-0.0663,83514,0
832069,207966,1.7036,-0.064,84292,0
832073,207967,1.7092,-0.0578,84292,0
832077,207968,1.7149,-0.0515,83496,0
832081,207969,1.7028,-0.063,84006,0
832085,207970,1.7116,-0.0535,83499,0
832089,207971,1.7471,-0.0179,83807,0
832093,207972,1.793,0.0278,83807,0
832097,207973,1.8301,0.0642,83565,0
832101,207974,1.8438,0.0771,83565,0
832105,207975,1.8309,0.0636,83525,0
832109,207976,1.7987,0.031,83328,0
832113,207977,1.7664,-0.0012,83549,0
832117,207978,1.7664,-0.0012,83160,0
832121,207979,1.8092,0.0411,83160,0
832125,207980,1.8511,0.0822,83511,0
832129,207981,1.8607,0.091,83027,0
832133,207982,1.8317,0.0614,83601,0
832137,207983,1.7866,0.0162,82931,0
832141,207984,1.7697,-0.0008,82931,0
832145,207985,1.7616,-0.0087,83654,0
832149,207986,1.7544,-0.0158,82936,0
832153,207987,1.7511,-0.0189,83702,0
832157,207988,1.7576,-0.0123,82912,0
832161,207989,1.7544,-0.0154,82912,0
832165,207990,1.7342,-0.0353,83748,0
832169,207991,1.7092,-0.0597,82894,0
832173,207992,1.7092,-0.0592,83824,0
832177,207993,1.7084,-0.0595,82988,0
832181,207994,1.6963,-0.071,82988,0
832185,207995,1.6826,-0.084,83040,0
832189,207996,1.6802,-0.0857,83040,0
832193,207997,1.6923,-0.073,83915,0
832197,207998,1.6947,-0.07,83095,0
832201,207999,1.6867,-0.0774,83965,0
832205,208000,1.6851,-0.0784,83164,0
832209,208001,1.6915,-0.0714,83164,0
832213,208002,1.6939,-0.0684,83950,0
832217,208003,1.6859,-0.0759,83236,0
832221,208004,1.6867,-0.0745,84051,0
832225,208005,1.6996,-0.0612,83286,0
832229,208006,1.7116,-0.0487,83286,0
832233,208007,1.7028,-0.0571,84097,0
832237,208008,1.702,-0.0575,83390,0
832241,208009,1.7125,-0.0467,84134,0
832245,208010,1.735,-0.0239,83433,0
832249,208011,1.7415,-0.0173,83433,0
832253,208012,1.7568,-0.002,83433,0
832257,208013,1.789,0.03,83464,0
832261,208014,1.8067,0.0474,84223,0
832265,208015,1.8309,0.071,83567,0
832269,208016,1.9196,0.1586,83567,0
832273,208017,2.2,0.4359,83614,0
832277,208018,2.5522,0.7826,83614,0
832281,208019,2.6634,0.8876,84290,0
832285,208020,2.5119,0.731,83670,0
832289,208021,2.1251,0.3418,84300,0
832293,208022,1.7068,-0.0759,83693,0
832297,208023,1.4409,-0.3395,83693,0
832301,208024,1.3579,-0.4197,84268,0
832305,208025,1.4328,-0.3425,83699,0
832309,208026,1.5481,-0.2257,84348,0
832313,208027,1.6085,-0.1642,83688,0
832317,208028,1.6158,-0.1559,83688,0
832321,208029,1.6528,-0.1181,84378,0
832325,208030,1.7092,-0.0613,83687,0
832329,208031,1.7632,-0.0072,84391,0
832333,208032,1.7761,0.0056,83662,0
832337,208033,1.7624,-0.008,83662,0
832341,208034,1.7552,-0.0152,83662,0
832345,208035,1.7648,-0.0055,83567,0
832349,208036,1.7729,0.0026,84434,0
832353,208037,1.7681,-0.0022,83583,0
832357,208038,1.7737,0.0034,83583,0
832361,208039,1.7858,0.0154,83535,0
832365,208040,1.7898,0.0193,83535,0
832369,208041,1.7834,0.0128,84459,0
832373,208042,1.7793,0.0087,83514,0
832377,208043,1.7906,0.0198,84450,0
832381,208044,1.8084,0.0373,83496,0
832385,208045,1.8092,0.0379,83496,0
832389,208046,1.7987,0.0273,84417,0
832393,208047,1.8035,0.0319,83499,0
832397,208048,1.8108,0.039,84508,0
832401,208049,1.8124,0.0403,83499,0
832405,208050,1.8116,0.0393,83499,0
832409,208051,1.8196,0.0471,84537,0
832413,208052,1.8382,0.0653,83525,0
832417,208053,1.8446,0.0713,84552,0
832421,208054,1.839,0.0653,83549,0
832425,208055,1.847,0.073,83549,0
832429,208056,1.8607,0.0862,83549,0
832433,208057,1.8712,0.0961,83511,0
832437,208058,1.8744,0.0988,84600,0
832441,208059,1.8736,0.0975,83601,0
832445,208060,1.8857,0.109,83601,0
832449,208061,1.8954,0.118,83654,0
832453,208062,1.9051,0.127,83654,0
832457,208063,1.9163,0.1375,84655,0
832461,208064,1.9381,0.1584,83702,0
832465,208065,1.9582,0.1776,84652,0
832469,208066,1.9647,0.1831,83748,0
832473,208067,1.9574,0.175,83748,0
832477,208068,1.9768,0.1933,84603,0
832481,208069,2.0001,0.2155,83824,0
832485,208070,2.0195,0.2337,84620,0
832489,208071,2.0243,0.2373,83852,0
832493,208072,2.0356,0.2473,83852,0
832497,208073,2.0541,0.2645,84556,0
832501,208074,2.067,0.276,83915,0
832505,208075,2.0662,0.2738,84386,0
832509,208076,2.0662,0.2725,83965,0
832513,208077,2.0743,0.2791,83965,0
832517,208078,2.0727,0.2762,83965,0
832521,208079,2.0582,0.2604,83950,0
832525,208080,2.034,0.235,84011,0
832529,208081,2.0122,0.2123,84051,0
832533,208082,1.9969,0.196,84051,0
832537,208083,1.9671,0.1654,84097,0
832541,208084,1.9341,0.1317,84097,0
832545,208085,1.8962,0.0934,83556,0
832549,208086,1.8704,0.0673,84134,0
832553,208087,1.8366,0.0333,83322,0
832557,208088,1.7914,-0.0118,83433,0
832561,208089,1.7624,-0.0406,83433,0
832565,208090,1.7536,-0.0493,83107,0
832569,208091,1.7374,-0.0651,84223,0
832573,208092,1.7076,-0.0945,83023,0
832577,208093,1.6859,-0.1157,84249,0
832581,208094,1.6891,-0.1119,84249,0
832585,208095,1.6955,-0.105,82951,0
832589,208096,1.6834,-0.1166,84290,0
832593,208097,1.6673,-0.1321,82922,0
832597,208098,1.6738,-0.1251,84300,0
832601,208099,1.6834,-0.1149,84300,0
832605,208100,1.6818,-0.116,84300,0
832609,208101,1.6697,-0.1275,84268,0
832613,208102,1.6705,-0.1262,82985,0
832617,208103,1.6867,-0.1096,84348,0
832621,208104,1.6899,-0.1059,84348,0
832625,208105,1.6722,-0.1231,84378,0
832629,208106,1.6697,-0.1249,84378,0
832633,208107,1.6867,-0.1075,83104,0
832637,208108,1.6955,-0.0983,84391,0
832641,208109,1.681,-0.1123,83160,0
832645,208110,1.6794,-0.1134,83662,0
832649,208111,1.6907,-0.1017,83662,0
832653,208112,1.6988,-0.0932,83180,0
832657,208113,1.6939,-0.0977,84434,0
832661,208114,1.6915,-0.0997,83303,0
832665,208115,1.7044,-0.0864,84446,0
832669,208116,1.7133,-0.0772,84446,0
832673,208117,1.7068,-0.0833,83356,0
832677,208118,1.702,-0.0878,84459,0
832681,208119,1.7084,-0.081,83434,0
832685,208120,1.7221,-0.067,84450,0
832689,208121,1.7221,-0.0668,84450,0
832693,208122,1.706,-0.0825,84450,0
832697,208123,1.7084,-0.0798,84417,0
832701,208124,1.7181,-0.0699,83589,0
832705,208125,1.7213,-0.0664,84508,0
832709,208126,1.7084,-0.0784,84508,0
832713,208127,1.7044,-0.0816,84537,0
832717,208128,1.7116,-0.0734,84537,0
832721,208129,1.7181,-0.066,83710,0
832725,208130,1.7116,-0.0714,84552,0
832729,208131,1.6988,-0.0832,83726,0
832733,208132,1.7092,-0.0715,83549,0
832737,208133,1.7149,-0.0646,83549,0
832741,208134,1.71,-0.0682,83692,0
832745,208135,1.7028,-0.0741,84600,0
832749,208136,1.706,-0.0695,83737,0
832753,208137,1.7149,-0.0592,84613,0
832757,208138,1.7116,-0.061,84613,0
832761,208139,1.702,-0.0693,83715,0
832765,208140,1.702,-0.0678,84655,0
832769,208141,1.7149,-0.0535,83683,0
832773,208142,1.7165,-0.0505,84652,0
832777,208143,1.7004,-0.0654,84652,0
832781,208144,1.6996,-0.065,83639,0
832785,208145,1.7157,-0.0478,84603,0
832789,208146,1.7262,-0.0365,83607,0
832793,208147,1.7213,-0.0406,84620,0
832797,208148,1.7334,-0.0281,84620,0
832801,208149,1.7713,0.0101,84556,0
832805,208150,1.8132,0.0519,84556,0
832809,208151,1.8188,0.0574,83521,0
832813,208152,1.818,0.0562,84386,0
832817,208153,1.8188,0.0566,83465,0
832821,208154,1.8325,0.0698,83965,0
832825,208155,1.8212,0.058,83965,0
832829,208156,1.8204,0.0566,83401,0
832833,208157,1.8478,0.0833,84011,0
832837,208158,1.8672,0.1018,83446,0
832841,208159,1.8809,0.1146,83769,0
832845,208160,1.864,0.0968,83769,0
832849,208161,1.8341,0.0663,83454,0
832853,208162,1.8164,0.0479,83556,0
832857,208163,1.7955,0.0264,83467,0
832861,208164,1.7673,-0.0023,83322,0
832865,208165,1.7479,-0.022,83322,0
832869,208166,1.7495,-0.0208,83487,0
832873,208167,1.7479,-0.0227,83107,0
832877,208168,1.7342,-0.0367,83523,0
832881,208169,1.7197,-0.0514,83023,0
832885,208170,1.7157,-0.0556,83023,0
832889,208171,1.7092,-0.0622,82951,0
832893,208172,1.6971,-0.0744,82951,0
832897,208173,1.6778,-0.0937,83619,0
832901,208174,1.6738,-0.0977,82922,0
832905,208175,1.6802,-0.0912,83652,0
832909,208176,1.6899,-0.0816,84300,0
832913,208177,1.6826,-0.0889,84300,0
832917,208178,1.6794,-0.0921,83662,0
832921,208179,1.6907,-0.0808,82985,0
832925,208180,1.6923,-0.0792,83778,0
832929,208181,1.6786,-0.093,83021,0
832933,208182,1.6802,-0.0914,83021,0
832937,208183,1.6891,-0.0825,83814,0
832941,208184,1.6963,-0.0752,83104,0
832945,208185,1.6891,-0.0825,83866,0
832949,208186,1.6842,-0.0873,83160,0
832953,208187,1.6899,-0.0817,83160,0
832957,208188,1.7068,-0.0648,83910,0
832961,208189,1.7286,-0.0431,83180,0
832965,208190,1.7511,-0.0208,83963,0
832969,208191,1.785,0.0127,83303,0
832973,208192,1.81,0.0372,83303,0
832977,208193,1.8358,0.0625,83356,0
832981,208194,1.9244,0.1502,83356,0
832985,208195,2.196,0.4197,84047,0
832989,208196,2.5393,0.7597,83434,0
832993,208197,2.644,0.8607,84072,0
832997,208198,2.4804,0.6939,84450,0
833001,208199,2.0767,0.2886,84450,0
833005,208200,1.6641,-0.1239,84041,0
833009,208201,1.4054,-0.3814,83589,0
833013,208202,1.3458,-0.4396,84115,0
833017,208203,1.428,-0.3564,83640,0
833021,208204,1.544,-0.2398,83640,0
833025,208205,1.6029,-0.1806,84150,0
833029,208206,1.6206,-0.1626,83710,0
833033,208207,1.6512,-0.1318,84178,0
833037,208208,1.7084,-0.0746,83726,0
833041,208209,1.7584,-0.0249,83726,0
833045,208210,1.7705,-0.0131,83726,0
833049,208211,1.7495,-0.0342,83692,0
833053,208212,1.7407,-0.0433,84242,0
833057,208213,1.7544,-0.0298,83737,0
833061,208214,1.764,-0.0204,83737,0
833065,208215,1.7576,-0.027,83715,0
833069,208216,1.7592,-0.0256,83715,0
